date,state_id,state_label,state_prob_0,state_prob_1,state_prob_2,state_prob_3
2021-12-02,1,state_1,3.497518155053504e-189,0.8959128127432946,0.0,0.10408718725670457
2021-12-03,3,state_3,1.7916091384420854e-187,0.45482562079311606,0.0,0.5451743792068833
2021-12-06,1,state_1,7.191854672989292e-191,0.6256138663871719,0.0,0.37438613361282935
2021-12-07,1,state_1,3.848596898872156e-194,0.6474471075167735,0.0,0.3525528924832253
2021-12-08,1,state_1,4.470964930051473e-192,0.8048915150301744,0.0,0.19510848496982472
2021-12-09,1,state_1,1.81396564944751e-189,0.6399210023298924,0.0,0.36007899767010715
2021-12-10,1,state_1,6.680621673387856e-194,0.8979680536798373,0.0,0.10203194632016223
2021-12-13,1,state_1,7.936790751171147e-193,0.7057615390489281,0.0,0.2942384609510715
2021-12-14,1,state_1,1.0846639809592679e-192,0.824864733102157,0.0,0.17513526689784242
2021-12-15,1,state_1,7.559094623048577e-199,0.9464080964908083,0.0,0.05359190350919135
2021-12-16,1,state_1,2.9795751880941354e-197,0.9478680383436333,0.0,0.052131961656366785
2021-12-17,1,state_1,1.3442994274967563e-196,0.9231701643352017,0.0,0.07682983566479952
2021-12-20,1,state_1,4.831334523652564e-194,0.943295928379495,0.0,0.056704071620503727
2021-12-21,1,state_1,6.013590818960359e-199,0.9852922222217769,0.0,0.01470777777822385
2021-12-22,1,state_1,6.049153408939727e-199,0.9900640199941124,0.0,0.009935980005887655
2021-12-23,1,state_1,8.447163559405198e-199,0.9937053590064161,0.0,0.006294640993583871
2021-12-24,1,state_1,1.5646550295644833e-197,0.9948762891253804,0.0,0.005123710874617897
2021-12-27,1,state_1,2.2402774326633133e-203,0.9932322670121975,0.0,0.006767732987800791
2021-12-28,1,state_1,6.994087717328916e-204,0.993895210177678,0.0,0.006104789822320791
2021-12-29,1,state_1,7.481470479599047e-204,0.9946921461922245,0.0,0.00530785380777423
2021-12-30,1,state_1,5.125350552282321e-201,0.9934091789056062,0.0,0.006590821094393217
2021-12-31,1,state_1,1.3283786038944793e-199,0.9936678838181946,0.0,0.006332116181805531
2022-01-01,1,state_1,1.63190469323991e-197,0.9942912765477933,0.0,0.0057087234522078594
2022-01-03,1,state_1,7.055954125538873e-197,0.9957471086788561,0.0,0.004252891321144636
2022-01-04,1,state_1,1.24637943305116e-198,0.9958737635870438,0.0,0.004126236412957812
2022-01-05,1,state_1,2.6998397261201892e-192,0.9889369298866607,0.0,0.011063070113341024
2022-01-06,1,state_1,2.3510141148180715e-193,0.997334111928257,0.0,0.0026658880717441414
2022-01-07,1,state_1,4.7355664218457775e-191,0.997075011452047,0.0,0.0029249885479520495
2022-01-10,1,state_1,8.114884106234812e-190,0.9957664721706196,0.0,0.004233527829381727
2022-01-11,1,state_1,1.1591705852886072e-190,0.995299833202562,0.0,0.004700166797436642
2022-01-12,1,state_1,4.941967082535729e-191,0.9950388127053456,0.0,0.004961187294654194
2022-01-13,1,state_1,3.822084612381759e-189,0.9860108646878868,0.0,0.013989135312112596
2022-01-14,1,state_1,1.676626759530012e-188,0.9884327141601785,0.0,0.01156728583982228
2022-01-18,1,state_1,3.3206837991586873e-183,0.8439625823066983,0.0,0.15603741769330048
2022-01-19,1,state_1,3.205396734533139e-185,0.6540261980728006,0.0,0.34597380192719684
2022-01-20,3,state_3,2.804237448642094e-188,0.0745562717040664,0.0,0.925443728295931
2022-01-21,3,state_3,1.0485176084095677e-193,0.0006528647895497339,0.0,0.9993471352104486
