,consensus
2021-12-12,0.125
2021-12-17,0.125
2021-12-22,0.125
2021-12-27,0.1875
2022-01-01,0.125
2022-01-06,0.125
2022-01-11,0.125
2022-01-16,0.125
2022-01-21,0.125
2022-01-26,0.125
2022-01-31,0.0625
2022-02-05,0.0625
2022-02-10,0.0625
2022-02-15,0.0625
2022-02-20,0.0625
2022-02-25,0.0625
2022-03-02,0.0625
2022-03-07,0.0625
2022-03-12,0.0625
2022-03-17,0.0625
2022-03-22,0.1875
2022-03-27,0.125
2022-04-01,0.1875
2022-04-06,0.125
2022-04-11,0.125
2022-04-16,0.125
2022-04-21,0.125
2022-04-26,0.125
2022-05-01,0.125
2022-05-06,0.125
2022-05-11,0.125
2022-05-16,0.125
2022-05-21,0.125
2022-05-26,0.25
2022-05-31,0.25
2022-06-05,0.25
2022-06-10,0.125
2022-06-15,0.125
2022-06-20,0.125
2022-06-25,0.125
2022-06-30,0.1875
2022-07-05,0.1875
2022-07-10,0.1875
2022-07-15,0.1875
2022-07-20,0.0625
2022-07-25,0.0625
2022-07-30,0.0625
2022-08-04,0.125
2022-08-09,0.0625
2022-08-14,0.125
2022-08-19,0.1875
2022-08-24,0.125
2022-08-29,0.125
2022-09-03,0.125
2022-09-08,0.125
2022-09-13,0.125
2022-09-18,0.1875
2022-09-23,0.125
2022-09-28,0.0625
2022-10-03,0.0625
2022-10-08,0.125
2022-10-13,0.125
2022-10-18,0.125
2022-10-23,0.1875
